Source;Human;Mouse;Function;Location;Target;Human;Mouse;Function;Location;Effects;Type of interaction;PubMedID
SNAPIN;P60878;P60881;Vesicle;Vesicles;SNAP25;P60878;P60881;Vesicle;Vesicles;_;Binding;10195194
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;+;Phosphorylation;11846792
PKA;P17612;P05132;Kinase;Cytosol;SNAPIN;P60878;P60881;Vesicle;Vesicles;+;Phosphorylation;15269257
PKI;P61925;P27776;Inhibitor;Cytosol;PKA;P17612;P05132;Kinase;Cytosol;_;Binding;1770951
DYRK;Q13627;Q61214;Kinase;Cytosol;EIF2;P05198;P05199;Ribosome;Ribosomes;_;Phosphorylation;11311121
DYRK;Q13627;Q61214;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Phosphorylation;11311121
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;CAS;P56945;Q61140;Adapter;Cytosol;_;Dephosphorylation;11593413
GSK3;P49840;Q9WV60;Kinase;Cytosol;INHIBITOR2;P05120;P12388;Inhibitor;Cytosol;+;Phosphorylation;6090457
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;INHIBITOR2;P05120;P12388;Inhibitor;Cytosol;+;Phosphorylation;6090457
GSK3;P49840;Q9WV60;Kinase;Cytosol;INHIBITOR2;P05120;P12388;Inhibitor;Cytosol;+;Phosphorylation;6091765
INHIBITOR2;P05120;P12388;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;6327437
SHP1;Q96B97;Q9JLQ0;Phosphatase;Cytosol;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;_;Dephosphorylation;15070900
SHP1;Q96B97;Q9JLQ0;Phosphatase;Cytosol;SPROUTY;O43609;Q9QXV9;Adapter;Cytosol;_;Dephosphorylation;15031289
PTP1B;P18031;P35821;Phosphatase;Cytosol;IR;P06213;P15208;Receptor;Membrane;_;Dephosphorylation;14722096
PP5;P53041;Q60676;Phosphatase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Dephosphorylation;14690518
CAMKPASE;P49593;P36993;Phosphatase;Cytosol;CaMKI;Q14012;Q91YS8;Kinase;Cytosol;_;Dephosphorylation;9442023
CAMKPASE;P49593;P36993;Phosphatase;Cytosol;CaMKI;Q14012;Q91YS8;Kinase;Cytosol;_;Dephosphorylation;10814834
CAMKPASE;P49593;P36993;Phosphatase;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;_;Dephosphorylation;10814834
CAMKPASE;P49593;P36993;Phosphatase;Cytosol;CAMKIV;Q16566;P08414;Kinase;Cytosol;_;Dephosphorylation;10814834
PP1;P36873;P37139;Phosphatase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Dephosphorylation;8183343
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Dephosphorylation;8183343
NMDAR;Q12879;P35436;Receptor;Membrane;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;0;Binding;10077668
CALMODULIN;P62158;P62204;Activator;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Binding;9728925
NMDAR;Q12879;P35436;Receptor;Membrane;ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;0;Binding;9728925
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;MUNC18;P61763;P61765;Vesicle;Vesicles;0;Binding;8108429
NMDAR;Q12879;P35436;Receptor;Membrane;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;12399578
NMDAR;Q12879;P35436;Receptor;Membrane;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;7569905
PSD95;P78352;Q62108;Adapter;Cytosol;NOS;P29475;Q9Z0J4;Synthase;Cytosol;0;Binding;11031113
PP1;P36873;P37139;Phosphatase;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;_;Dephosphorylation;12928489
PP1;P36873;P37139;Phosphatase;Cytosol;CAMKII;Q9UQM7;P11798;Kinase;Cytosol;_;Dephosphorylation;8753794
PKA;P17612;P05132;Kinase;Cytosol;I1;Q13522;Q9ERT9;Inhibitor;Cytosol;_;Phosphorylation;8611507
I1;Q13522;Q9ERT9;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;8611507
I1;Q13522;Q9ERT9;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;9765309
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;_;Dephosphorylation;6330098
PKC;P17252;P05697;Kinase;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;_;Phosphorylation;1324914
PKC;P17252;P05697;Kinase;Cytosol;GSK3;P49840;Q9WV60;Kinase;Cytosol;_;Phosphorylation;14556709
IQGAP;P46940;Q9JKF1;GAP;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;0;Binding;9694656
IQGAP;P46940;Q9JKF1;GAP;Cytosol;BETACATENIN;P35222;Q02248;TF;Cytosol;0;Binding;10473551
IQGAP;P46940;Q9JKF1;GAP;Cytosol;CDC42;P60953;P60766;GTPase;Cytosol;0;Binding;8798539
IQGAP;P46940;Q9JKF1;GAP;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;0;Binding;8798539
IQGAP;P46940;Q9JKF1;GAP;Cytosol;CDC42;P60953;P60766;GTPase;Cytosol;0;Binding;9199170
IQGAP;P46940;Q9JKF1;GAP;Cytosol;RAC;P15154;P15154;GTPase;Cytosol;0;Binding;9199170
PTPA;P18433;P18052;Phosphatase;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;+;Dephosphorylation;9535845
PTPA;P18433;P18052;Phosphatase;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;+;Dephosphorylation;10562275
PTPA;P18433;P18052;Phosphatase;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;+;Dephosphorylation;9535845
PTPA;P18433;P18052;Phosphatase;Cytosol;LCK;P06239;P08103;Kinase;Cytosol;+;Dephosphorylation;9535845
PKC;P17252;P05697;Kinase;Cytosol;SNAP25;P60878;P60881;Vesicle;Vesicles;_;Phosphorylation;15277518
PKC;P17252;P05697;Kinase;Cytosol;SNAP25;P60878;P60881;Vesicle;Vesicles;_;Phosphorylation;12417653
CDK5;Q00535;P49615;Kinase;Cytosol;MUNC18;P61763;P61765;Vesicle;Vesicles;_;Phosphorylation;9478941
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;MUNC18;P61763;P61765;Vesicle;Vesicles;0;Binding;9478941
CDK5;Q00535;P49615;Kinase;Cytosol;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;0;Binding;9478941
CDK5;Q00535;P49615;Kinase;Cytosol;MUNC18;P61763;P61765;Vesicle;Vesicles;_;Phosphorylation;9933594
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;MUNC18;P61763;P61765;Vesicle;Vesicles;0;Binding;9933594
PKC;P17252;P05697;Kinase;Cytosol;MUNC18;P61763;P61765;Vesicle;Vesicles;_;Phosphorylation;10651895
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;VAMP;Q9P0L0;Q9WV55;Vesicle;Vesicles;0;Phosphorylation;8876242
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;_;Binding;11978810
CASPASE3;P42574;P70677;Protease;Cytosol;PIP5K;P48426;Q80XI4;Kinase;Cytosol;_;Cleavage;11042212
P1433;Q04917;P11576;Adapter;Cytosol;KSR;O95381;Q8VC98;Kinase;Cytosol;0;Binding;10643560
P1433;Q04917;P11576;Adapter;Cytosol;KSR;O95381;Q8VC98;Kinase;Cytosol;0;Binding;9115393
KSR;O95381;Q8VC98;Kinase;Cytosol;MEK1;Q92918;Q8BPM2;Kinase;Cytosol;0;Binding;10891492
KSR;O95381;Q8VC98;Kinase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;0;Binding;10891492
KSR;O95381;Q8VC98;Kinase;Cytosol;RAF1;P04049;Q99N57;Kinase;Cytosol;+;Binding;9115393
bARK;P25098;O70293;Kinase;Cytosol;MOR;P35372;P33534;Receptor;Cytosol;_;Phosphorylation;10488100
bARK;P25098;O70293;Kinase;Cytosol;MOR;P35372;P33534;Receptor;Cytosol;_;Phosphorylation;11861651
BETAARRESTIN;P49407;Q91YI4;Adapter;Cytosol;MOR;P35372;P33534;Receptor;Cytosol;_;Binding;11861651
PKC;P17252;P05697;Kinase;Cytosol;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;_;Phosphorylation;9738012
GSK3;P49840;Q9WV60;Kinase;Cytosol;CJUN;P05412;P05627;TF;Nucleus;_;Phosphorylation;1846781
GSK3;P49840;Q9WV60;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Phosphorylation;8228990
RAF1;P04049;Q99N57;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;8929532
BAD;Q92934;Q61337;Bcl2Family;Mitochondria;BCLXL;Q07817;P70345;Bcl2Family;Mitochondria;+;Binding;8929531
PKA;P17612;P05132;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;10880354
PP2C;P35813;P49443;Phosphatase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;+;Dephosphorylation;12590938
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;+;Dephosphorylation;11222372
PP1;P36873;P37139;Phosphatase;Cytosol;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;+;Dephosphorylation;12051739
PKB;P31749;Q60823;Kinase;Cytosol;CASPASE9;P55211;Q9R0T0;Protease;Cytosol;_;Phosphorylation;9812896
GEPHYRIN;Q9NQX3;Q8BUV3;Adapter;Membrane;GLYR;P23415;Q61603;Receptor;Membrane;0;Binding;14976213
SAM68;Q8TCZ4;Q64213;Adapter;Cytosol;CBP;Q92793;P45481;TF;Nucleus;_;Binding;12496368
NMDAR;Q12879;P35436;Receptor;Membrane;YOTIAO;Q99996;Q91VW5;Adapter;Cytosol;0;Binding;9482789
PKA;P17612;P05132;Kinase;Cytosol;YOTIAO;Q99996;Q91VW5;Adapter;Cytosol;0;Binding;10390370
YOTIAO;Q99996;Q91VW5;Adapter;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;0;Binding;10390370
SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;+;Binding;1321498
SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;SNAP25;P60878;P60881;Vesicle;Vesicles;0;Binding;1470954
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;SNAP25;P60878;P60881;Vesicle;Vesicles;0;Binding;7957071
SNAP25;P60878;P60881;Vesicle;Vesicles;SYNAPTOBREVIN;P23763;Q62442;Vesicle;Vesicles;0;Binding;7961655
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;SYNAPTOBREVIN;P23763;Q62442;Vesicle;Vesicles;0;Binding;8108733
RAL;P11233;P05810;GTPase;Cytosol;RALBP1;Q15311;Q62172;GAP;Cytosol;+;Binding;10393179
GKAP;O14490;P97836;Adapter;Cytosol;SHANK;Q9Y566;P31695;Adapter;Cytosol;0;Binding;10433268
REELIN;P78509;Q60841;Ligand;Extracellular;INTEGRIN;P05556;P09055;CellAdhesion;Membrane;_;Binding;10725376
REELIN;P78509;Q60841;Ligand;Extracellular;INTEGRIN;P05556;P09055;CellAdhesion;Membrane;_;Binding;10939329
PKC;P17252;P05697;Kinase;Cytosol;PMCA;P20020;Q9R0K7;Pump;Membrane;_;Phosphorylation;11779484
PKC;P17252;P05697;Kinase;Cytosol;PMCA;P20020;Q9R0K7;Pump;Membrane;_;Phosphorylation;9824678
PKA;P17612;P05132;Kinase;Cytosol;PMCA;P20020;Q9R0K7;Pump;Membrane;_;Phosphorylation;9824678
PKA;P17612;P05132;Kinase;Cytosol;STEP;P54829;P54830;Phosphatase;Cytosol;_;Phosphorylation;10908600
CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;STEP;P54829;P54830;Phosphatase;Cytosol;+;Dephosphorylation;12483215
STEP;P54829;P54830;Phosphatase;Cytosol;MAPK;P28482;P27703;Kinase;Cytosol;_;Dephosphorylation;9857190
CASPASE7;P55210;P97864;Protease;Cytosol;MEF2;Q02080;O55087;TF;Nucleus;_;Cleavage;11904443
CASPASE3;P42574;P70677;Protease;Cytosol;MEF2;Q02080;O55087;TF;Nucleus;_;Cleavage;11904443
SRC;P12931;P05480;Kinase;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;+;Phosphorylation;12446661
CALPAIN;P07384;O35350;Protease;Cytosol;SPECTRIN;O15020;Q62261;Cytoskeleton;Cytosol;_;Cleavage;12446661
FYN;P06241;P39688;Kinase;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;+;Phosphorylation;11677266
CALPAIN;P07384;O35350;Protease;Cytosol;AMPAR;P42261;P23818;Channel;Membrane;_;Cleavage;11677266
SRC;P12931;P05480;Kinase;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;+;Phosphorylation;10846184
CALPAIN;P07384;O35350;Protease;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;_;Cleavage;10846184
PKC;P17252;P05697;Kinase;Cytosol;LTYPECA;Q13936;Q13936;Channel;Membrane;_;Phosphorylation;11035786
PKA;P17612;P05132;Kinase;Cytosol;LTYPECA;Q13936;Q13936;Channel;Membrane;_;Phosphorylation;10984483
PKA;P17612;P05132;Kinase;Cytosol;LTYPECA;Q13936;Q13936;Channel;Membrane;_;Phosphorylation;2174428
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;LTYPECA;Q13936;Q13936;Channel;Membrane;+;Dephosphorylation;10984483
PKA;P17612;P05132;Kinase;Cytosol;LTYPECA;Q13936;Q13936;Channel;Membrane;_;Phosphorylation;10514522
MAP2;P11137;P20357;Cytoskeleton;Cytosol;LTYPECA;Q13936;Q13936;Channel;Membrane;0;Binding;10514522
CASPASE3;P42574;P70677;Protease;Cytosol;PARP;P09874;P11103;Polymerase;Cytosol;_;Cleavage;10438458
PKC;P17252;P05697;Kinase;Cytosol;IRS1;P35568;P35569;Adapter;Cytosol;_;Phosphorylation;15069075
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;RICS;Q9BWG3;Q91V57;Adapter;Cytosol;_;Phosphorylation;12531901
RACK;P25388;P25388;Adapter;Cytosol;NMDAR;Q12879;P35436;Receptor;Membrane;0;Binding;11943848
RACK;P25388;P25388;Adapter;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;_;Binding;11943848
NAKED;Q96969;O88706;Antagonist;Cytosol;FRIZZLED;Q9UP38;O70421;Receptor;Membrane;_;Binding;12354775
INHIBITOR2;P05120;P12388;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;11812771
INHIBITOR2;P05120;P12388;Inhibitor;Cytosol;PP1;P36873;P37139;Phosphatase;Cytosol;_;Binding;11320080
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;CREB;P16220;Q01147;TF;Nucleus;_;Dephosphorylation;8386317
PKC;P17252;P05697;Kinase;Cytosol;GABAAR;P14867;P18504;Receptor;Membrane;_;Phosphorylation;11517239
PKC;P17252;P05697;Kinase;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;_;Phosphorylation;9015864
PKA;P17612;P05132;Kinase;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;_;Phosphorylation;8657310
PKC;P17252;P05697;Kinase;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;_;Phosphorylation;2211670
PKC;P17252;P05697;Kinase;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;_;Phosphorylation;9307019
PKA;P17612;P05132;Kinase;Cytosol;PLCBETA;Q9NQ66;P51432;Phospholipase;Cytosol;_;Phosphorylation;9660757
PKC;P17252;P05697;Kinase;Cytosol;DGK;Q16854;Q9QX60;Kinase;Cytosol;_;Phosphorylation;12890670
PKC;P17252;P05697;Kinase;Cytosol;DGK;Q16854;Q9QX60;Kinase;Cytosol;_;Phosphorylation;9716136
PKB;P31749;Q60823;Kinase;Cytosol;FORKHEAD;Q12778;Q9R1E0;TF;Nucleus;_;Phosphorylation;10102273
PKB;P31749;Q60823;Kinase;Cytosol;FORKHEAD;Q12778;Q9R1E0;TF;Nucleus;_;Phosphorylation;10358075
PKB;P31749;Q60823;Kinase;Cytosol;P53;Q12888;P70399;TF;Nucleus;_;Phosphorylation;11054421
PKB;P31749;Q60823;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;9346240
PKB;P31749;Q60823;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;9381178
BAD;Q92934;Q61337;Bcl2Family;Mitochondria;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;+;Binding;7834748
BAD;Q92934;Q61337;Bcl2Family;Mitochondria;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;+;Binding;9388232
BAX;Q07812;Q07813;Bcl2Family;Mitochondria;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Binding;9388232
BAK;Q16611;NA;Bcl2Family;Mitochondria;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Binding;9388232
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;CAMKIV;Q16566;P08414;Kinase;Cytosol;_;Dephosphorylation;9596578
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;CAMKIV;Q16566;P08414;Kinase;Cytosol;_;Dephosphorylation;15143065
PAK;Q13153;O88643;Kinase;Cytosol;MLCK;Q15746;Q8VDF3;Kinase;Cytosol;_;Phosphorylation;10092231
GSK3;P49840;Q9WV60;Kinase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;_;Phosphorylation;11063740
CASK;Q9HCP0;Q8BTH8;Kinase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;_;Phosphorylation;15121840
P38;Q16539;P47811;Kinase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;_;Phosphorylation;10788511
P38;Q16539;P47811;Kinase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;_;Phosphorylation;11997522
PKA;P17612;P05132;Kinase;Cytosol;NFAT;O95644;O88942;TF;Nucleus;_;Phosphorylation;10611249
P1433;Q04917;P11576;Adapter;Cytosol;NFAT;O95644;O88942;TF;Nucleus;_;Binding;10611249
P1433;Q04917;P11576;Adapter;Cytosol;FORKHEAD;Q12778;Q9R1E0;TF;Nucleus;_;Binding;14690436
FLIP;O15519;O35732;Inhibitor;Cytosol;CASPASE8;Q14790;O89110;Protease;Cytosol;_;Binding;9217161
SPAL;Q96FS4;Q61037;GAP;Cytosol;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;12059963
DAP;O14490;Q9D415;Adapter;Cytosol;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;9286856
SHANK;Q9Y566;P31695;Adapter;Cytosol;HOMER;Q9NSB8;Q99JP6;Adapter;Cytosol;0;Binding;10433269
MGLUR1;Q13255;P97772;Receptor;Membrane;HOMER;Q9NSB8;Q99JP6;Adapter;Cytosol;0;Binding;9808458
RET;P09455;Q00915;Receptor;Membrane;RAI;P29353;Q61120;Adapter;Cytosol;+;Binding;12242309
ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;RABPHILIN;Q9Y2J0;P47708;Vesicle;Vesicles;0;Binding;8943213
CLIP170;P30622;Q02566;Adapter;Cytosol;IQGAP;P46940;Q9JKF1;GAP;Cytosol;0;Binding;12361581
FAK;Q05397;Q60750;Kinase;Cytosol;CAS;P56945;Q61140;Adapter;Cytosol;0;Binding;8662921
FAK;Q05397;Q60750;Kinase;Cytosol;FYN;P06241;P39688;Kinase;Cytosol;+;Binding;10085136
CRK;P46108;Q64010;Adapter;Cytosol;C3G;Q13905;P27671;GEF;Cytosol;+;Binding;9591773
SHC;P29353;Q61120;Adapter;Cytosol;GRIT;Q8IUG4;Q91V57;GAP;Cytosol;0;Binding;12446789
MEKK1;Q13233;P53349;Kinase;Cytosol;JNK;P45983;Q91Y86;Kinase;Nucleus;+;Binding;9405400
PIN1;Q13526;Q9QUR7;TF;Nucleus;CJUN;P05412;P05627;TF;Nucleus;+;Binding;11432833
SV2A;Q9BVZ9;Q9Z0E8;Vesicle;Vesicles;SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;+;Binding;8910372
SYNAPTOTAGMIN;P21579;P46096;Vesicle;Vesicles;SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;+;Binding;7559535
CDC42;P60953;P60766;GTPase;Cytosol;NWASP;Q92558;P42337;Activator;Cytosol;+;Binding;11052943
CDC42;P60953;P60766;GTPase;Cytosol;NWASP;Q92558;P42337;Activator;Cytosol;+;Binding;8643625
CDC42;P60953;P60766;GTPase;Cytosol;NWASP;Q92558;P42337;Activator;Cytosol;+;Binding;10360578
GRB2;P62993;Q60631;Adapter;Cytosol;NWASP;Q92558;P42337;Activator;Cytosol;+;Binding;9307968
EGFR;P00533;Q01279;Receptor;Membrane;NWASP;Q92558;P42337;Activator;Cytosol;+;Binding;9307968
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;BCL2;P10415;Q64373;Bcl2Family;Mitochondria;_;Dephosphorylation;9852076
RSK;Q15418;P18653;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;10558990
PKA;P17612;P05132;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;10230394
PKB;P31749;Q60823;Kinase;Cytosol;BAD;Q92934;Q61337;Bcl2Family;Mitochondria;_;Phosphorylation;10383455
CASPASE3;P42574;P70677;Protease;Cytosol;PP2A;Q13362;Q80W65;Phosphatase;Cytosol;_;Cleavage;9582351
CASPASE3;P42574;P70677;Protease;Cytosol;CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;+;Cleavage;11478781
CASPASE3;P42574;P70677;Protease;Cytosol;CALCINEURIN;P06705;P61023;Phosphatase;Cytosol;+;Cleavage;10898953
SRC;P12931;P05480;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Phosphorylation;8388373
SRC;P12931;P05480;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Phosphorylation;7682059
LCK;P06239;P08103;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Phosphorylation;7682059
LYN;P07948;P08103;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Phosphorylation;7682059
FYN;P06241;P39688;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Phosphorylation;7682059
HCK;P08631;P08103;Kinase;Cytosol;PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;+;Phosphorylation;7682059
ROCK;O75116;P70336;Kinase;Cytosol;CRMP2;Q16555;P47942;Activator;Cytosol;+;Phosphorylation;10818093
LARG;Q9NZN5;Q8R4H2;GEF;Cytosol;RHO;Q07960;Q8C0D4;GTPase;Cytosol;+;GEF;11373293
LARG;Q9NZN5;Q8R4H2;GEF;Cytosol;IGF1R;P08069;Q60751;Receptor;Cytosol;0;Binding;11724822
SAP97;Q12959;P70175;Adapter;Cytosol;N41;P11171;P48193;Adapter;Cytosol;0;Binding;7937897
PSD95;P78352;Q62108;Adapter;Cytosol;LYN;P07948;P08103;Kinase;Cytosol;0;Binding;14529711
PSD95;P78352;Q62108;Adapter;Cytosol;YES;P07947;P00520;Kinase;Cytosol;0;Binding;14529711
PSD95;P78352;Q62108;Adapter;Cytosol;SRC;P12931;P05480;Kinase;Cytosol;0;Binding;14529711
CJUN;P05412;P05627;TF;Nucleus;CREB;P16220;Q01147;TF;Nucleus;+;Binding;1827203
CJUN;P05412;P05627;TF;Nucleus;ATF1;P39905;P81269;TF;Nucleus;+;Binding;8290251
CFOS;P01100;P01101;TF;Nucleus;ATF1;P39905;P81269;TF;Nucleus;+;Binding;8290251
MEKK1;Q13233;P53349;Kinase;Cytosol;SEK;P54764;Q03137;Kinase;Cytosol;+;Phosphorylation;7997270
P38;Q16539;P47811;Kinase;Cytosol;AP1;P05412;P05627;TF;Nucleus;+;Phosphorylation;12475989
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;SAP97;Q12959;P70175;Adapter;Cytosol;+;Phosphorylation;12933808
GSK3;P49840;Q9WV60;Kinase;Cytosol;TAU;P10636;P20357;Activator;Cytosol;_;Phosphorylation;8799840
AKAP;P24588;Q9JL25;Adapter;Cytosol;PSD95;P78352;Q62108;Adapter;Cytosol;0;Binding;10939335
PDK1;O15530;Q9Z2A0;Kinase;Cytosol;PKC;P17252;P05697;Kinase;Cytosol;+;Phosphorylation;9889098
PLCGAMMA;P19174;Q62077;Phospholipase;Cytosol;SYNAPSIN;P17600;O88935;Vesicle;Vesicles;0;Binding;10899172
PP2A;Q13362;Q80W65;Phosphatase;Cytosol;CAMKI;Q14012;Q91YS8;Kinase;Cytosol;_;Dephosphorylation;1320022
CAMKII;Q9UQM7;P11798;Kinase;Cytosol;PP2A;Q13362;Q80W65;Phosphatase;Cytosol;_;Dephosphorylation;10646534
SNAP25;P60878;P60881;Vesicle;Vesicles;CAVEOLIN;Q03135;P49817;Adapter;Cytosol;0;Binding;11883949
SYNTAXIN;Q13277;O35526;Vesicle;Vesicles;CAVEOLIN;Q03135;P49817;Adapter;Cytosol;0;Binding;11883949
SRC;P12931;P05480;Kinase;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;+;Binding;9539797
SYNAPSIN;P17600;O88935;Vesicle;Vesicles;SRC;P12931;P05480;Kinase;Cytosol;0;Binding;9539797
LRP;Q9BQ69;P00755;Receptor;Membrane;FRIZZLED;Q9UP38;O70421;Receptor;Membrane;+;Binding;12857724
ADAPTIN;Q10567;O35643;Adapter;Cytosol;SYNAPTOPHYSIN;P08247;Q8BGN8;Vesicle;Vesicles;0;Binding;12498786
AMPHIPHYSIN;P49418;Q7TQF7;Adapter;Cytosol;DYNAMIN;Q05193;P09922;GTPase;Vesicles;0;Binding;11050117
IP6K2;Q9UHH9;Q9Z1B3;Kinase;Cytosol;GRAB;P10144;P04187;GEF;Cytosol;0;Binding;11516400
ALPHAACTININ;Q08043;O88990;Cytoskeletal;Cytosol;INTEGRIN;P05556;P09055;CellAdhesion;Membrane;0;Binding;2116421
PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;FAK;Q05397;Q60750;Kinase;Cytosol;0;Binding;10764815
CRK;P46108;Q64010;Adapter;Cytosol;PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;0;Binding;8662907
CRK;P46108;Q64010;Adapter;Cytosol;PAXILLIN;P49023;Q8CI51;Adapter;Cytosol;0;Binding;10329689
CRK;P46108;Q64010;Adapter;Cytosol;SHC;P29353;Q61120;Adapter;Cytosol;0;Binding;8662907
CRK;P46108;Q64010;Adapter;Cytosol;CAS;P56945;Q61140;Adapter;Cytosol;0;Binding;8662907
EGFR;P00533;Q01279;Receptor;Membrane;CRK;P46108;Q64010;Adapter;Cytosol;0;Binding;8662907
BCL2;P10415;Q64373;Bcl2Family;Mitochondria;BID;P55957;P70444;Bcl2Family;Cytosol;_;Binding;8918887
