INTERACTOR1	INTERACTION_TYPE	INTERACTOR2	PMID
AKT1	CATALYSIS	_beta_-Catenin*	17374729;17680028;20214616;20398329;21303971;21506126
Src family kinases*	UNKNOWN_TRANSITION	PTK2B	N/A
WNT*	CATALYSIS	CUL3	14704854;14747478;15265686;16443747;16547521;16965538;17127310;17143292;17430994;17884187;19020754;19029934;19072724;19705439;19718039;20006983;20093472;20940130;210606194;21087212;21602792;21606194;21640127;21796133;22007144;22017973;22433869;7641885;8655584
MIR34A	HETERODIMER_ASSOCIATION	WNT1	22045851
RAD50	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;MODULATION	ATM	11850621;11877377;12202749;12556884;12607003;15279786;15385537;15459660;15964794;16163361;16332722;16449207;16531125;16858402;17116323;17303408;17660363;17965729;18006705;18087292;18171986;18398454;18524993;18558713;18583988;18584027;18590585;18678890;18809224;19151707;19202191;19362533;19490890;19654615;19772495;19793801;19892829;20064462;20691907;20723763;21376743;22657828;22743550;23082994;23161013;23253856;23847781;24036544;24050180;7575488;9407949;9488723;9721205
TMEM70	CATALYSIS	ATP5E	11410595;14701807;14757859;18953340
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ITGA3	10931041;16039586;16099633;17143292;19029934;19171760;19619488;19734908;22007144;22203675;22659456;23343194
GZMA	CATALYSIS	NDUFC1	18485875
SMAD4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	SMAD3	11013220;11074002;11224571;11283614;17018611;19597490;21041997;21614932;22514743;9389648;9670020
DEK	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	REF*	10786854;11108711;11532962;12522211;16286006;18423201;19339977;20647036
p53*	UNKNOWN_CATALYSIS	IGFBP1	10102273;18056423;9707622
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFV1	15526035;16200211;16218961;17344420;20025615;20816094
JUN	CATALYSIS	GRB2	11274345;12738796;17439715;18039929;20506250;8545107
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFV2	15526035;16200211;16218961;17344420;20025615;20816094
GZMA	CATALYSIS	NDUFC2	18485875
CyclinA1*	TRIGGER	SMC3	15279786;17303408;17660363;18590585;7575488
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFV3	15526035;16200211;16218961;17344420;20025615;20816094
AP2_mu_*	PHYSICAL_STIMULATION	RSPO3	18953287;19910923;20947020;21397842
CDK4_6*	INHIBITION	p107*	15279786;16236519;17303408;17660363;18590585;18786381;19075565;20068082;7575488
CHEK2	CATALYSIS	EXO1	11438669;15459660;15810020;15867354;17464182;18048416;18566216;18756267;20019063
E2F1_alone	POSITIVE_INFLUENCE	CDCA7	16580749
PPP3CB_sub_trunc_endsub_*	CATALYSIS	14-3-3*	11796223;14627704;14741051;15036616;16648474;17593948;17662023
p120*	CATALYSIS	CUL3	14704854;14747478;15265686;16443747;16547521;16965538;17127310;17143292;17430994;17884187;19020754;19029934;19072724;19705439;19718039;20006983;20093472;20940130;210606194;21087212;21602792;21606194;21640127;21796133;22007144;22017973;22433869;7641885;8655584
ORC6*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	ORC5*	10882098;11900249;12185086;12648680;12909626;15279786;15459660;15703371;16697054;17102137;17116885;17296725;17303408;17582221;17608804;17660363;17884153;17887956;18590585;18677104;19793801;19809470;19847258;21406556;21527023;7575488
MTA1_2_3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CHD3_4*	15576399;17666529;19923891;20682799;21734722;22290435;22761862
G_beta_*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	G_alpha__sub_13q_endsub_*	11694535;14652070;15707890;17374729;17430994;20223821;21506126;21640127
ATRIP	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;INHIBITION	PRIM*	10882098;11438669;11571269;11877377;11900249;12185086;12535671;12648680;12766152;12875843;12909626;12930902;12947387;12972610;14676842;14726013;15189466;15279786;15459660;15474417;15703371;15798197;16697054;16731533;16880517;16934469;17102137;17116885;17141802;17296725;17303408;17384638;17386261;17582221;17608804;17652783;17660363;17884153;17887956;18048416;18082604;18082605;18087292;18196958;18550849;18584027;18590585;18677104;18756267;18809224;18931676;19075014;19217432;19258535;19264559;19282663;19473888;19490890;19595721;19596235;19596236;19622404;19667075;19686080;19772495;19793801;19793861;19793862;19809470;19841479;19847258;20019063;20029420;20081207;20173781;20211143;20227374;20478261;20723763;20832754;21060331;21282463;21337561;21376743;21406556;21527023;21948210;22101340;22257761;22266823;22373527;22505525;22615860;22657828;22743550;22751496;22824526;23085398;23253856;23444773;24050180;24089143;24095737;7533895;7575488;8020957;8264637;8978692
GZMA	CATALYSIS	NDUFB5	18485875
PTMA	INHIBITION	APAF1	11864614;12522243;14622304;15087373;17377525;18439902
GZMA	CATALYSIS	NDUFB6	18485875
GZMA	CATALYSIS	NDUFB7	18485875
GZMA	CATALYSIS	NDUFB8	18485875
GZMA	CATALYSIS	NDUFB1	18485875
CTBP*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	HIPK2	11925430;12851404;14567915;15082531;15526030;15708980;16039586;16984892;17143292;17349959;17666529;18974774;19619488;19623618;19788416;19828042;20307497;21118996;21285352;22236966;22290435;22761862;23343194
GZMA	CATALYSIS	NDUFB2	18485875
GZMA	CATALYSIS	NDUFB3	18485875
GZMA	CATALYSIS	NDUFB4	18485875
cleaved~Caspase3*	CATALYSIS	MT-ND5	15186778
JNK*	CATALYSIS	DYNLL2	12591950
GZMA	CATALYSIS	NDUFB9	18485875
ARP2_3*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BCAR1	12473693;14749719;15094799;15308668;15688067;16000375;18829532;9819392
APC3*	CATALYSIS	PFKFB3	19448625
E2F1_alone	POSITIVE_INFLUENCE	SUZ12	11564866
LMNA	STATE_TRANSITION	cleaved_LAMA1_2*	11058599;8663580;8710882;8900201;8978814
CAB39	CATALYSIS	PRKAG*	15509864;19197243;20160076;8910387
E1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CSN1*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
KIF3B	CATALYSIS	SUFU	11208056;14603322;20643644;20956384
p53*	CATALYSIS	BBC3	11463391;11463392;14634023;14684737
EB1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	AMER2	20006983;22898821
E1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PKD*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
MNAT1	CATALYSIS	CyclinA*	11959850
GZMA	CATALYSIS	NDUFA6	18485875
GZMA	CATALYSIS	NDUFA7	18485875
GZMA	CATALYSIS	NDUFA4	18485875
GZMA	CATALYSIS	NDUFA5	18485875
GZMA	CATALYSIS	NDUFA2	18485875
GZMA	CATALYSIS	NDUFA3	18485875
PLK1	CATALYSIS	STAG*	18931676;19270156;19622404;19686080
CDC42	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PAR6*	10873802;10934474;10934475;10954424;11248548;11340065;15003621;15020669;18719708
GZMA	CATALYSIS	NDUFA1	18485875
BRD8	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	EPC1	17320397
MAP3K7_10_11*	UNKNOWN_TRANSITION	MAP3K11	N/A
GZMA	CATALYSIS	NDUFA8	18485875
GZMA	CATALYSIS	NDUFA9	18485875
RACK1*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RHOA	11226259;11779461;14704854;14747478;15265686;15618519;17127310;17884187;18256687;18497258;18851840;19020754;19366350;19565474;19853559;20006983;22017973;7641885;8655584
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS4	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS5	15526035;16200211;16218961;17344420;20025615;20816094
CUL4*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DCAF*	12820959;15340381;15688063;16636147;17680028;18381890;19440234;20146692
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS6	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS7	15526035;16200211;16218961;17344420;20025615;20816094
NDUFS8	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	MT-ND5	N/A
PIAS1	CATALYSIS	KLF8	15117942;19218564;20711444
Rac1_GEFs*	UNKNOWN_TRANSITION	DEF6	N/A
E2F4	POSITIVE_INFLUENCE	CDCA4	16984923
LEF_TCF*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CBP*	11274345;15337521;16039586;16510874;17143292;17439715;17565603;19619488;19623618;20006983;20530697;20920541;21285352;22020335;23296977;23343194;8545107
E2F4	UNKNOWN_TRANSITION	DHFR	11564866
RAD1	INHIBITION	POLA*	14726013;15459660;15703371;16697054;16885023;17102137;17116885;17296725;17303408;17493829;17582221;19793801;19847258;20478261;8943031;9524127
cleaved~Caspase3*	CATALYSIS	cleaved~GCLC*	12000740
BAF250*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BAF47*	17666529;21358755;22290435;22761862
APC10*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CDC20	10477750;11402067;11535616;12640463;15024386;15279786;15592459;16896351;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;22322943;7575488;8824189;9790499
CYC1	CATALYSIS	Cytochrome_C*	N/A
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	CBP*	11274345;11973335;15337521;16039586;16510874;17143292;17439715;17565603;19619488;19623618;20006983;20530697;20920541;21285352;22020335;23296977;23343194;8545107
PHLPP*	CATALYSIS	AKT1	15808505;18511290;19797085
p57KIP2*	CATALYSIS	BAX	17464323;20428755
Caspase8*	STATE_TRANSITION	Caspase8_sub_TRUNC_endsub_*	15755874;23308069
E2F1_alone	POSITIVE_INFLUENCE	BBC3	14684737
IGF family*	UNKNOWN_TRANSITION	IGF2	N/A
IGF family*	UNKNOWN_TRANSITION	IGF1	N/A
LEF1_TCF3_4*	PHYSICAL_STIMULATION	Fibronectin*	11955436;11967263;12051714;16940750;19751508;22270359;7542250;8666229
p21CIP1*	CATALYSIS	p107*	10385618;10498883;12006580;9736735
c-SRC*	CATALYSIS	EGFR family*	18829532;9819392
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS1	15526035;16200211;16218961;17344420;20025615;20816094
CTSS	CATALYSIS	AIFM1	11278689;15590628;15775970;15933737
active~NRF*	CATALYSIS	COX7A2	15004004
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS3	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND5	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFS2	15526035;16200211;16218961;17344420;20025615;20816094
cleaved~Caspase7*	CATALYSIS	IKK_beta_*	11741536
CyclinA1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	APC3*	15279786;17303408;17660363;18590585;7575488
RAD17	INHIBITION	DBF4	14726013;15459660;15703371;16697054;16885023;17303408;17493829;19847258;20478261;8943031;9524127
WNT*	CATALYSIS	KLHL*	14704854;14747478;15265686;16443747;16547521;16965538;17127310;17143292;17430994;17884187;19020754;19029934;19072724;19705439;19718039;20006983;20093472;20940130;210606194;21087212;21602792;21606194;21640127;21796133;22007144;22017973;22433869;7641885;8655584
CDK1	CATALYSIS	Caspase9*	12792650;17466630;19016842;19081073;19586613
EGFR family*	HETERODIMER_ASSOCIATION;UNKNOWN_TRANSITION	EGFR	N/A
MIR133A*	INHIBITION	PKM2*	18464261
SNAI1	INHIBITION	Claudin4*	12668723;17018611;22514743
LIG4	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	APLF	12471202;15703371;16439205;16697054;17088286;18077224;19346677;19473888;196269035;19772495;19808869;19847258;20691907;21175350;21211721;21270334;21300785;21376743;22055391;22469522;22713970;22743550;23178593;24050180;9242410
TACE*	UNKNOWN_CATALYSIS	Pro HB-EGF*	16054021;18372913
DFFB	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	DFFA	N/A
E2F1_alone	NEGATIVE_INFLUENCE	MYBL2	10766737;8760872
AMER1*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RAD6*	10023660;12820959;15071497;15340381;15688063;16039586;17143292;19352404;19366350;19576224;19597341;19619488;19849719;20006983;20558317;20843316;20976471;21411632;22682247;22730322;23343194;7641885
SDHA	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SDHB	N/A
SDHA	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SDHC	N/A
SDHA	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SDHD	N/A
_beta_-Catenin*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	PP2A_C*	10995457;16039586;16680151;17143292;18039929;18042541;18588945;19366350;19556239;19619488;20006983;23343194;7641885
G_gamma_*	CATALYSIS;COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION;KNOWN_TRANSITION_OMITTED	AMER1*	10023660;10581160;10995457;11226259;11274345;11448771;11955436;12000790;12050670;12533515;12820959;12839624;14704854;14747478;15071497;15265686;15340381;15618519;15688063;16039586;16263762;16443747;16547521;16604063;16680151;16965538;17030191;17127310;17143292;17244647;17318175;17426148;17430994;17569865;17884187;17910481;17986005;18000759;18039929;18042541;18077588;18497258;18588945;18606138;18851840;18953287;19020754;19029934;19056682;19072724;19151919;19352404;19366350;19379695;19556239;19561074;19565474;19576224;19581931;19597341;19619488;19705439;19718039;19849719;19853559;19910923;20006983;20059949;20093472;20215527;20229235;20399103;20457807;20460648;20558317;20579883;20627573;20628572;20843316;20930545;20940130;20947020;20976471;210606194;21078818;21087212;21285348;21304492;21316585;21380625;21397842;21411632;21498506;21602792;21606194;21640127;21727895;21796133;21829496;21909076;22007144;22017973;22433869;22682247;22730322;23022962;23277359;23343194;52226983;7641885;8655584
p53*	CATALYSIS	MIR34A	10721693;15140942;15526030;17158541;17540599;17554199;17554337;17656095;19459846;19696787;20506250;21614932;22045851
GSK3_beta_*	CATALYSIS	DDIT4	19557001
MIR122	INHIBITION	BCL2L2	18692484;19654003
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA8	15526035;16200211;16218961;17344420;20025615;20816094
PP2A_A*	CATALYSIS	AXIN1	10026142;10995457;16680151;18042541;18559511;19131971
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA9	15526035;16200211;16218961;17344420;20025615;20816094
RFC*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RAD1	10884395;14726013;15459660;15703371;16697054;16885023;17303408;17493829;19847258;20478261;8943031;9524127
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA6	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA7	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA4	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA5	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA2	15526035;16200211;16218961;17344420;20025615;20816094
KIF3B	CATALYSIS	GLI3-190*	11208056;14603322;20643644;20956384
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA3	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFA1	15526035;16200211;16218961;17344420;20025615;20816094
KIF3A	CATALYSIS	GLI3-190*	11208056;14603322;20643644;20956384
WNT*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	RSPO1-4*	14704854;14747478;15265686;16443747;17127310;17143292;17430994;17884187;19020754;19029934;19072724;21640127;21727895;21829496;21909076;22007144;22017973;22433869;7641885;8655584
Plakophilin2 binding partners*	UNKNOWN_TRANSITION	KRT14	N/A
BUB3	TRIGGER	SCC1*	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFC1	15526035;16200211;16218961;17344420;20025615;20816094
UCRC*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	UQCRQ	N/A
BAF45A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BAF250*	17666529;21358755;22290435;22761862
PPP3CB	CATALYSIS	MEF2*	11796223;14741051;15036616;17593948;18235236;19136967;19608982;2550447
APC7*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUB3	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
PPP3CB	CATALYSIS	BAD	10195903;11796223;14741051;15036616;17593948;18235236;19136967;19608982;2550447;7593193
RSK*	CATALYSIS	NFAT3*	15187187;15239952;15657420;16286006;21233202
APC7*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	BUB1	10477750;11402067;11535616;12640463;15024386;15279786;15592459;17303408;17376779;17498870;17660363;18022367;18590585;19154723;19182530;19503101;7575488;8824189;9790499
BIM1_KLF4_SOX2*	UNKNOWN_TRANSITION	KLF4	N/A
MTOR	CATALYSIS;COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION	M7GTP*	11108711;12150925;12408816;12844354;12867079;15755954;15905173;16286006;16679021;17368478;17680028;18391071;19339977;19568798;19597330;19864431;20647036;20932932;21157483;21177869;21233202
MTOR	CATALYSIS	p70_beta_*	12150925;12408816;15755954;16286006;17680028;19568798;19864431;20932932;21157483
UCRC*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	UQCRH	N/A
MSH2	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	SNM1B*	12947387;15703371;16612326;16697054;18157157;18406444;18469862;19473888;19595721;19596235;19596236;19686080;19772495;19847258;20478261;20655466;22101340
PP2A_B*	CATALYSIS	AXIN1	10026142;10995457;16680151;18042541;18559511;19131971
UQCRB	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	UCRC*	N/A
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB9	15526035;16200211;16218961;17344420;20025615;20816094
CTSB	CATALYSIS	AIFM1	11278689;15590628;15775970;15933737
FOXO3	CATALYSIS	BCL6*	10783894;11094066;11154281;11994454;15509806;16288288;17646672;18644865;20673124
E2F1	CATALYSIS	PMAIP1	12676992;14684737;14699081;16888645
FOXO4	CATALYSIS	BCL6*	10217147;10783894;11094066;11313479;11994454;12391153;15509806;17646672;20673124
BAF53A*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	Reptin*	17320397
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB5	15526035;16200211;16218961;17344420;20025615;20816094
ATP5G*	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	ATP5F1	11410595;11744738;12110673;14701807;14757859;18953340
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB6	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB7	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB8	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB1	15526035;16200211;16218961;17344420;20025615;20816094
Desmoplakin binding partners*	UNKNOWN_TRANSITION	Desmocolin1*	N/A
ITGA3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	_alpha_-Catenin*	10931041;16039586;17143292;19029934;19171760;19619488;22007144;22659456;23343194
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB2	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB3	15526035;16200211;16218961;17344420;20025615;20816094
MT-ND3	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION;STATE_TRANSITION	NDUFB4	15526035;16200211;16218961;17344420;20025615;20816094
CDK2	CATALYSIS	FOXO*	15279786;15677884;17038621;17303408;17660363;18590585;7575488
E2F3_alone	UNKNOWN_TRANSITION	MYC	11564866
CyclinE*	CATALYSIS;COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	p130*	11157749;11237530;12006580;15456871;15558010;15838516;16123593;9736735
MEK*	COMPLEX_EXPANSION;DISSOCIATION;HETERODIMER_ASSOCIATION;PROTEIN_INTERACTION	KSR1-CTER*	15547943;17178906;17613518;19565474
H2AFZ	COMPLEX_EXPANSION;HETERODIMER_ASSOCIATION	DMAP1	17320397
CyclinC*	CATALYSIS	HDAC1	15838516
